id,title,what,when_time,when_day,who,how_time,where,parent_id,image,detail
17,ビンゴ,"ビンゴ,ステージイベント",14:30,26,丸調本部,1時間30分,青空劇場,15,./data/img/16_bingo.png,
18,中夜祭,中夜祭,16:30,26,丸調本部,3時間30分,青空劇場,15,,
19,味一番コンテスト,"味一番コンテスト,料理,出店,屋台",10:30,26,丸調本部,2時間,C棟前ステージ,15,./data/img/15_aji.png,
20,電気通信大学空手道部,"電気通信大学空手道部,演武",13:00,26,空手道部,30分,C棟前ステージ,15,,
21,グリークラブ,"グリークラブ,演奏会,ライブ,男声合唱",13:50,26,グリークラブ,30分,C棟前ステージ,15,./data/img/25_gree.png,
22,書Do!部,書道パフォーマンス,14:40,26,書Do!部,30分,C棟前ステージ,15,,
23,Passageジャグリングステージ,"ジャグリングステージ,バルーン",15:30,26,Passage,1時間,C棟前ステージ,15,,
24,サルサダンス,サルサダンス,17:00,26,丸調本部,30分,C棟前ステージ,15,,
25,スカパラ,スカパラ,18:00,26,丸調本部,30分,C棟前ステージ,15,,
26,サルサダンス,サルサダンス,18:30,26,丸調本部,30分,C棟前ステージ,15,,
27,青木瑠璃子・三宅麻理恵のGame Lab,"青木瑠璃子・三宅麻理恵のGame Lab,声優トークショー",14:15,26,"調布祭講堂企画局,青木瑠璃子,三宅麻理恵,声優文化研究会",2時間15分,講堂（B202）,15,./data/img/07_live_seiyou.png,
28,3日目タイムテーブル,"3日目（27日）青空劇場,C棟前ステージ,講堂（B202）タイムテーブル,ステージイベント",10:00,27,丸調本部,12時間,"青空劇場,C棟前ステージ,講堂（B202）",,./data/img/04_time04.png,
29,WEOアンサンブルステージ,"WEOアンサンブルステージ,吹奏楽,演奏会,ライブ",10:30,27,"WEO,吹奏楽部",30分,青空劇場,28,./data/img/29_weo.png,
30,モダンジャズ研究会,"モダンジャズ研究会,演奏会,ライブ,ジャズ研",11:15,27,モダンジャズ研究会,1時間,青空劇場,28,,
31,UEC MATCH FES,"U-FES,UEC MATCH FES,UECマッチフェス,クイズ",12:30,27,丸調本部,2時間,青空劇場,28,./data/img/14_matchi.png,
32,ビンゴ,ビンゴ,15:00,27,丸調本部,1時間30分,青空劇場,28,./data/img/16_bingo.png,
33,ミスコンテスト,"ミスコンテスト,MS.UEC,女装コンテスト",17:00,27,丸調本部,3時間,青空劇場,28,./data/img/12_misukon.png,
34,合気道演武,"合気道演武,合氣道",10:00,27,合気道部,30分,C棟前ステージ,28,./data/img/27_aiki.png,
35,マカレナダンス,マカレナダンス,10:30,27,丸調本部,15分,C棟前ステージ,28,,
36,Passageジャグリングステージ,"ジャグリングステージ,バルーン",10:45,27,Passage,1時間,C棟前ステージ,28,,
37,硬式テニス愛好会フリーダム,"硬式テニス愛好会フリーダム,庭球部",12:00,27,硬式テニス愛好会,30分,C棟前ステージ,28,,
38,JARNZΩLIVE in 調布祭,"バンド,ライブ,JARNZΩLIVE in 調布祭,ジャーンズ",13:10,27,JARNZΩ,40分,C棟前ステージ,28,,
39,Carat,"DJ,ダンスボーカル,ライブ,Carat,カラット",14:30,27,Carat,30分,C棟前ステージ,28,,
40,クイズ,クイズ,15:30,27,丸調本部,30分,C棟前ステージ,28,,
41,Street Dance同好会のC棟前ステージにおけるダンス公演,"ストリートダンス,Street Dance",16:00,27,Street Dance同好会,30分,C棟前ステージ,28,./data/img/26_dance.png,
42,マカレナダンス,マカレナダンス,17:00,27,丸調本部,30分,C棟前ステージ,28,,
43,Passageジャグリングステージ,"ジャグリングステージ,バルーン",17:30,27,Passage,1時間,C棟前ステージ,28,,
44,マカレナダンス,マカレナダンス,19:00,27,丸調本部,30分,C棟前ステージ,28,,
45,菊地亜美のトークショー～菊地先生の特別授業！！～,菊地亜美のトークショー～菊地先生の特別授業！！～,10:30,27,"調布祭講堂企画局,菊地亜美",1時間30分,講堂（B202）,28,./data/img/08_live_kikuchi.png,
46,藤原啓治・阿澄佳奈トークショー,"藤原啓治・阿澄佳奈トークショー,声優トークショー",15:00,27,"調布祭講堂企画局,藤原啓治,阿澄佳奈",1時間30分,講堂（B202）,28,./data/img/09_live_seiyou2.png,
47,体験型謎解き脱出ゲームDimensions～抗う者たち～,体験型謎解き脱出ゲームDimensions～抗う者たち～,17:00,26,丸調本部,2時間,青空劇場,28,./data/img/10_dassyutu.png,
48,マリオメーカー,マリオメーカー,12:00,25,丸調本部,2時間30分,新C103,,./data/img/11_mario.png,
49,ゲーム企画スマブラ大会,"ゲーム大会,ゲーム企画,大乱闘スマッシュブラザーズ,スマブラ",11:00,26,丸調本部,1時間,新C103,,./data/img/13_game.png,
50,ゲーム企画ぷよぷよ大会,"ゲーム大会,ゲーム企画,ぷよぷよ",11:00,27,丸調本部,1時間,新C103,,./data/img/13_game.png,
51,イライラ棒,イライラ棒,10:00,"25,26,27",丸調本部,12時間,噴水前,,./data/img/17_ira.png,
54,オープンキャンパス,オープンキャンパス,10:00,27,電気通信大学,6時間30分,西8号館131号室他,,./data/img/18_oc.jpg,
55,大学説明会,"大学説明会,大学概要説明",10:30,27,電気通信大学,1時間,西8号館131号室,54,,
56,大学説明会,"大学説明会,大学概要説明",15:00,27,電気通信大学,1時間,西8号館131号室,54,,
57,入試説明会,"入試説明会,来年度の改組に伴う変更点やポイントを説明",11:45,27,戸村,30分,西9号館135号室,54,./data/img/nyushi.png,
58,入試説明会,"入試説明会,来年度の改組に伴う変更点やポイントを説明",16:00,27,高橋,30分,西9号館135号室,54,./data/img/nyushi.png,
59,研究室公開,"研究室公開,総合情報学科,J科,情報通信工学科,I科,知能機械工学科,M科,先進理工学科,S科",11:30,27,全研究室,4時間30分,全研究室,54,./data/img/40_openlab.png,
